,log_return,log_return,log_return,log_return,vol_30d,vol_30d,vol_30d,vol_30d,drawdown,drawdown,drawdown,drawdown,index
,mean,std,min,max,mean,std,min,max,mean,std,min,max,
regime,,,,,,,,,,,,,
crisis,-0.0007811228514833702,0.01880896634215966,-0.12765219747281709,0.10957196759533883,0.01585097294455873,0.009579039762984123,0.004978071960893594,0.05409122596083208,-0.19804189531411479,0.12618472284667914,-0.5677538774277282,0.0,SP500
normal,0.0005063700337378253,0.009499221267119327,-0.22899728603345348,0.0870887965237932,0.00849400321661931,0.0043704732340650605,0.002244829007872969,0.05337241082778141,-0.07744052514814337,0.09501342699288812,-0.40011521661715,0.0,SP500
post_crisis,0.0010968098672545974,0.012525484464373219,-0.060752692996288715,0.0373470906207336,0.013152302059022158,0.005206765324373016,0.004485984292186077,0.03276964847753351,-0.2260230198726672,0.18730533776472677,-0.48178768524539123,0.0,SP500
pre_crisis,0.0006539126842136069,0.009426553148714377,-0.03909917534093754,0.03465855271483598,0.008937171572208254,0.0031146922407548896,0.003502566765021863,0.015234402383670768,-0.062252433215324525,0.0632846017248198,-0.19695876735308843,0.0,SP500
crisis,-0.001242767202530682,0.024575637134356256,-0.13149154641354954,0.1325463760580634,0.02189185052116856,0.010718832131485348,0.005979830653306228,0.0528840441583026,-0.5008872779988373,0.16385519638169965,-0.7793238628593402,0.0,NASDAQ
normal,0.0005968380369333636,0.010826563326469592,-0.12043230631785384,0.0709433979126155,0.00971291845974345,0.004750994382020439,0.002688363995281401,0.040318925917230006,-0.16138691700173324,0.20428255730294897,-0.7083242501093372,0.0,NASDAQ
post_crisis,0.0014924099814197034,0.014261188108526689,-0.05409169433805516,0.04697794640261943,0.014884251896136024,0.005423519615686935,0.00537563517956685,0.03094278857454015,-0.4346111067255464,0.2709652083785611,-0.7481549529990307,0.0,NASDAQ
pre_crisis,0.0018241206743605913,0.012228717895577923,-0.05714601734740299,0.04212516335967287,0.011148104021365195,0.004730510403163045,0.004443209177515136,0.0260411614025516,-0.2445190839800371,0.22821649244271877,-0.5202134536684007,0.0,NASDAQ
crisis,-0.0013703876315668709,0.02168828219702376,-0.13240515144998977,0.10437647119412219,0.019071641208241095,0.009608925332804287,0.005885487509674923,0.04670097070311122,-0.3736087807096388,0.15699842851522347,-0.6028629181168906,-0.0148719137106953,STOXX50
normal,0.0002445687963757788,0.011411280822121932,-0.09010986099529816,0.09846568404527023,0.010706707552488374,0.00426987347887926,0.002890304417446192,0.028636820191476436,-0.22896827927211147,0.1167818168944424,-0.4539853263956139,0.0,STOXX50
post_crisis,0.0008750507126119374,0.01436518946732078,-0.0463373995782419,0.05514529471416196,0.01467659264817938,0.004833480318091344,0.006589336539810056,0.029776505332681873,-0.38354817372039685,0.07270893106696835,-0.5397612874271353,-0.25281449785797,STOXX50
pre_crisis,0.000582759652903271,0.009896280784336544,-0.030281194745898077,0.02907682737769779,0.009642869031869814,0.002417827123137148,0.0036250994650070885,0.015197226792239282,-0.1997472594435224,0.13789866675453896,-0.4040947286467408,0.0,STOXX50
crisis,-0.0007856759386197671,0.01698270526298863,-0.11511706134251476,0.09384243973982187,0.014749252093475268,0.007918347997116316,0.005439294308559156,0.04673722151446039,-0.20547264878917185,0.10582662698270758,-0.49321808913517534,-0.019061512500836677,FTSE100
normal,0.0003637269088255088,0.009021558271529844,-0.13028599383291706,0.07596969979525348,0.00830913687681994,0.0035355377516587444,0.0035210605408203892,0.042340596929580435,-0.0988508790252601,0.10049631609517656,-0.4401171700233565,0.0,FTSE100
post_crisis,0.0004694929786254121,0.013083998858465316,-0.04918122483632459,0.05903776664694327,0.013421551063044233,0.005163915744769797,0.004966409916567625,0.029563925382944573,-0.2781053962228172,0.1401532133072786,-0.5256991273898141,-0.012972264594290867,FTSE100
pre_crisis,0.00013202056210262237,0.010221713821405007,-0.04185031237582848,0.034440805544022624,0.009653934270578916,0.0030218169901825367,0.005213954629334089,0.0186798610033118,-0.08488919079383755,0.04353818250835135,-0.19220223982864854,0.0,FTSE100
